Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total Persons,Total Males,Total Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2308,1,0,State - JAMMU & KASHMIR,Total,7,270538,142123,128415,91361,45646,45715,179177,96477,82700,3570,2216,1354,173571,93095,80476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,1166,870
C2308,1,0,State - JAMMU & KASHMIR,Total,8,285314,150470,134844,59762,28675,31087,225552,121795,103757,2704,1683,1021,221202,119170,102032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,942,704
C2308,2,0,State - HIMACHAL PRADESH,Total,7,122039,63842,58197,19485,10007,9478,102554,53835,48719,1037,576,461,101020,52985,48035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,274,223
C2308,2,0,State - HIMACHAL PRADESH,Total,8,117124,61593,55531,6140,2983,3157,110984,58610,52374,650,360,290,110131,58142,51989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,108,95
C2308,3,0,State - PUNJAB,Total,7,483280,262427,220853,108413,57896,50517,374867,204531,170336,9742,5768,3974,361448,196661,164787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3677,2102,1575
C2308,3,0,State - PUNJAB,Total,8,479447,263834,215613,56985,30352,26633,422462,233482,188980,6273,3634,2639,414174,228697,185477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1151,864
C2308,4,0,State - CHANDIGARH,Total,7,18624,9987,8637,3172,1649,1523,15452,8338,7114,139,80,59,15207,8203,7004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,55,51
C2308,4,0,State - CHANDIGARH,Total,8,17271,9413,7858,1395,738,657,15876,8675,7201,68,31,37,15771,8622,7149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,15
C2308,5,0,State - UTTARAKHAND,Total,7,210340,110555,99785,45348,23217,22131,164992,87338,77654,2671,1541,1130,161017,85069,75948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,728,576
C2308,5,0,State - UTTARAKHAND,Total,8,216896,114848,102048,21389,10834,10555,195507,104014,91493,1586,920,666,193123,102656,90467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,438,360
